"sample_size,""rep"",""model"",""bias_intercept"",""bias_biomarkers"",""correctly_removed"",""rmse"""
"5000,37,""Lasso_min"",1.10521792831525,0.679481722505961,0.8,0.99263690299167"
"5000,37,""Lasso_1se"",1.07610704133942,3.95587414114578,0.8,1.00070688161761"
"5000,37,""AdaptLasso_min"",1.11102852642163,0.927335547362045,1,0.992620599184612"
"5000,37,""AdaptLasso_1se"",1.09895606657641,0.719790789000356,1,0.997832686459432"
"5000,37,""Elastic_Net_min"",1.10421952516792,0.658501956958084,0.8,0.992636724215788"
"5000,37,""Elastic_Net_1se"",1.07916282527626,3.26898140602923,0.8,0.998048916755715"
"5000,37,""WQS"",-138.560770764602,1.01488131758155,1,1.01386472049455"
"100,38,""Lasso_min"",-16.1659090053876,11.0697828731862,0,0.950792938776665"
"100,38,""Lasso_1se"",-13.2570964985066,19.6331210436858,1,1.06960918014986"
"100,38,""AdaptLasso_min"",-16.7604772626132,10.8383853096053,0.8,1.04416392047219"
"100,38,""AdaptLasso_1se"",-16.4052115083677,16.8741904773946,1,1.09077950582346"
"100,38,""Elastic_Net_min"",-16.1134435099789,10.9412540845436,0,0.951679523252807"
"100,38,""Elastic_Net_1se"",-12.5857721154884,20.8476452956456,0.8,1.07430587875075"
"100,38,""WQS"",-119.96167983722,8.71631848205372,1,1.0505725014769"
"500,38,""Lasso_min"",0.0205171589860137,3.93385896645221,0.8,0.956055939383658"
"500,38,""Lasso_1se"",-0.316458226963048,11.7031356196138,0.8,0.985242102491306"
"500,38,""AdaptLasso_min"",0.11507223913475,3.05198410963909,0.8,0.955371760798397"
"500,38,""AdaptLasso_1se"",0.0268217354437057,5.26788040046603,1,0.981560498455813"
"500,38,""Elastic_Net_min"",0.0155102657842125,3.9534723179363,0.6,0.9557312644587"
"500,38,""Elastic_Net_1se"",-0.284102235807379,10.2981736788535,0.8,0.975243618283814"
"500,38,""WQS"",-119.553382577111,2.8110819581611,1,0.971393415362983"
"1000,38,""Lasso_min"",-0.331761302414042,2.62020347242202,0.6,0.990526575995261"
"1000,38,""Lasso_1se"",-0.831139664608116,7.96053582137229,0.4,1.01093469028823"
"1000,38,""AdaptLasso_min"",-0.207639692342662,2.53712142092484,0.8,0.990485456987423"
"1000,38,""AdaptLasso_1se"",0.503573797806912,2.90997516955061,1,1.01310085646727"
"1000,38,""Elastic_Net_min"",-0.338149802952872,2.61235508892123,0.6,0.990494427978258"
"1000,38,""Elastic_Net_1se"",-1.06695909037119,9.83960572660134,0.4,1.01851346955751"
"1000,38,""WQS"",-112.126869189812,2.57997048527671,1,1.00354516856598"
"5000,38,""Lasso_min"",1.10521792831525,0.679481722505961,0.8,0.99263690299167"
"5000,38,""Lasso_1se"",1.07610704133942,3.95587414114578,0.8,1.00070688161761"
"5000,38,""AdaptLasso_min"",1.11102852642163,0.927335547362045,1,0.992620599184612"
"5000,38,""AdaptLasso_1se"",1.09895606657641,0.719790789000356,1,0.997832686459432"
"5000,38,""Elastic_Net_min"",1.10421952516792,0.658501956958084,0.8,0.992636724215788"
"5000,38,""Elastic_Net_1se"",1.07916282527626,3.26898140602923,0.8,0.998048916755715"
"5000,38,""WQS"",-138.560770764602,1.01488131758155,1,1.01386472049455"
"100,39,""Lasso_min"",-16.1659090053876,11.0697828731862,0,0.950792938776665"
"100,39,""Lasso_1se"",-13.2570964985066,19.6331210436858,1,1.06960918014986"
"100,39,""AdaptLasso_min"",-16.7604772626132,10.8383853096053,0.8,1.04416392047219"
"100,39,""AdaptLasso_1se"",-16.4052115083677,16.8741904773946,1,1.09077950582346"
"100,39,""Elastic_Net_min"",-16.1134435099789,10.9412540845436,0,0.951679523252807"
"100,39,""Elastic_Net_1se"",-12.5857721154884,20.8476452956456,0.8,1.07430587875075"
"100,39,""WQS"",-119.96167983722,8.71631848205372,1,1.0505725014769"
"500,39,""Lasso_min"",0.0205171589860137,3.93385896645221,0.8,0.956055939383658"
"500,39,""Lasso_1se"",-0.316458226963048,11.7031356196138,0.8,0.985242102491306"
"500,39,""AdaptLasso_min"",0.11507223913475,3.05198410963909,0.8,0.955371760798397"
"500,39,""AdaptLasso_1se"",0.0268217354437057,5.26788040046603,1,0.981560498455813"
"500,39,""Elastic_Net_min"",0.0155102657842125,3.9534723179363,0.6,0.9557312644587"
"500,39,""Elastic_Net_1se"",-0.284102235807379,10.2981736788535,0.8,0.975243618283814"
"500,39,""WQS"",-119.553382577111,2.8110819581611,1,0.971393415362983"
"1000,39,""Lasso_min"",-0.331761302414042,2.62020347242202,0.6,0.990526575995261"
"1000,39,""Lasso_1se"",-0.831139664608116,7.96053582137229,0.4,1.01093469028823"
"1000,39,""AdaptLasso_min"",-0.207639692342662,2.53712142092484,0.8,0.990485456987423"
"1000,39,""AdaptLasso_1se"",0.503573797806912,2.90997516955061,1,1.01310085646727"
"1000,39,""Elastic_Net_min"",-0.338149802952872,2.61235508892123,0.6,0.990494427978258"
"1000,39,""Elastic_Net_1se"",-1.06695909037119,9.83960572660134,0.4,1.01851346955751"
"1000,39,""WQS"",-112.126869189812,2.57997048527671,1,1.00354516856598"
"5000,39,""Lasso_min"",1.10521792831525,0.679481722505961,0.8,0.99263690299167"
"5000,39,""Lasso_1se"",1.07610704133942,3.95587414114578,0.8,1.00070688161761"
"5000,39,""AdaptLasso_min"",1.11102852642163,0.927335547362045,1,0.992620599184612"
"5000,39,""AdaptLasso_1se"",1.09895606657641,0.719790789000356,1,0.997832686459432"
"5000,39,""Elastic_Net_min"",1.10421952516792,0.658501956958084,0.8,0.992636724215788"
"5000,39,""Elastic_Net_1se"",1.07916282527626,3.26898140602923,0.8,0.998048916755715"
"5000,39,""WQS"",-138.560770764602,1.01488131758155,1,1.01386472049455"
"100,40,""Lasso_min"",-16.1659090053876,11.0697828731862,0,0.950792938776665"
"100,40,""Lasso_1se"",-13.2570964985066,19.6331210436858,1,1.06960918014986"
"100,40,""AdaptLasso_min"",-16.7604772626132,10.8383853096053,0.8,1.04416392047219"
"100,40,""AdaptLasso_1se"",-16.4052115083677,16.8741904773946,1,1.09077950582346"
"100,40,""Elastic_Net_min"",-16.1134435099789,10.9412540845436,0,0.951679523252807"
"100,40,""Elastic_Net_1se"",-12.5857721154884,20.8476452956456,0.8,1.07430587875075"
"100,40,""WQS"",-119.96167983722,8.71631848205372,1,1.0505725014769"
"500,40,""Lasso_min"",0.0205171589860137,3.93385896645221,0.8,0.956055939383658"
"500,40,""Lasso_1se"",-0.316458226963048,11.7031356196138,0.8,0.985242102491306"
"500,40,""AdaptLasso_min"",0.11507223913475,3.05198410963909,0.8,0.955371760798397"
"500,40,""AdaptLasso_1se"",0.0268217354437057,5.26788040046603,1,0.981560498455813"
"500,40,""Elastic_Net_min"",0.0155102657842125,3.9534723179363,0.6,0.9557312644587"
"500,40,""Elastic_Net_1se"",-0.284102235807379,10.2981736788535,0.8,0.975243618283814"
"500,40,""WQS"",-119.553382577111,2.8110819581611,1,0.971393415362983"
"1000,40,""Lasso_min"",-0.331761302414042,2.62020347242202,0.6,0.990526575995261"
"1000,40,""Lasso_1se"",-0.831139664608116,7.96053582137229,0.4,1.01093469028823"
"1000,40,""AdaptLasso_min"",-0.207639692342662,2.53712142092484,0.8,0.990485456987423"
"1000,40,""AdaptLasso_1se"",0.503573797806912,2.90997516955061,1,1.01310085646727"
"1000,40,""Elastic_Net_min"",-0.338149802952872,2.61235508892123,0.6,0.990494427978258"
"1000,40,""Elastic_Net_1se"",-1.06695909037119,9.83960572660134,0.4,1.01851346955751"
"1000,40,""WQS"",-112.126869189812,2.57997048527671,1,1.00354516856598"
"5000,40,""Lasso_min"",1.10521792831525,0.679481722505961,0.8,0.99263690299167"
"5000,40,""Lasso_1se"",1.07610704133942,3.95587414114578,0.8,1.00070688161761"
"5000,40,""AdaptLasso_min"",1.11102852642163,0.927335547362045,1,0.992620599184612"
"5000,40,""AdaptLasso_1se"",1.09895606657641,0.719790789000356,1,0.997832686459432"
"5000,40,""Elastic_Net_min"",1.10421952516792,0.658501956958084,0.8,0.992636724215788"
"5000,40,""Elastic_Net_1se"",1.07916282527626,3.26898140602923,0.8,0.998048916755715"
"5000,40,""WQS"",-138.560770764602,1.01488131758155,1,1.01386472049455"
"100,41,""Lasso_min"",-16.1659090053876,11.0697828731862,0,0.950792938776665"
"100,41,""Lasso_1se"",-13.2570964985066,19.6331210436858,1,1.06960918014986"
"100,41,""AdaptLasso_min"",-16.7604772626132,10.8383853096053,0.8,1.04416392047219"
"100,41,""AdaptLasso_1se"",-16.4052115083677,16.8741904773946,1,1.09077950582346"
"100,41,""Elastic_Net_min"",-16.1134435099789,10.9412540845436,0,0.951679523252807"
"100,41,""Elastic_Net_1se"",-12.5857721154884,20.8476452956456,0.8,1.07430587875075"
"100,41,""WQS"",-119.96167983722,8.71631848205372,1,1.0505725014769"
"500,41,""Lasso_min"",0.0205171589860137,3.93385896645221,0.8,0.956055939383658"
"500,41,""Lasso_1se"",-0.316458226963048,11.7031356196138,0.8,0.985242102491306"
"500,41,""AdaptLasso_min"",0.11507223913475,3.05198410963909,0.8,0.955371760798397"
"500,41,""AdaptLasso_1se"",0.0268217354437057,5.26788040046603,1,0.981560498455813"
"500,41,""Elastic_Net_min"",0.0155102657842125,3.9534723179363,0.6,0.9557312644587"
"500,41,""Elastic_Net_1se"",-0.284102235807379,10.2981736788535,0.8,0.975243618283814"
"500,41,""WQS"",-119.553382577111,2.8110819581611,1,0.971393415362983"
"1000,41,""Lasso_min"",-0.331761302414042,2.62020347242202,0.6,0.990526575995261"
"1000,41,""Lasso_1se"",-0.831139664608116,7.96053582137229,0.4,1.01093469028823"
"1000,41,""AdaptLasso_min"",-0.207639692342662,2.53712142092484,0.8,0.990485456987423"
"1000,41,""AdaptLasso_1se"",0.503573797806912,2.90997516955061,1,1.01310085646727"
"1000,41,""Elastic_Net_min"",-0.338149802952872,2.61235508892123,0.6,0.990494427978258"
"1000,41,""Elastic_Net_1se"",-1.06695909037119,9.83960572660134,0.4,1.01851346955751"
"1000,41,""WQS"",-112.126869189812,2.57997048527671,1,1.00354516856598"
"5000,41,""Lasso_min"",1.10521792831525,0.679481722505961,0.8,0.99263690299167"
"5000,41,""Lasso_1se"",1.07610704133942,3.95587414114578,0.8,1.00070688161761"
"5000,41,""AdaptLasso_min"",1.11102852642163,0.927335547362045,1,0.992620599184612"
"5000,41,""AdaptLasso_1se"",1.09895606657641,0.719790789000356,1,0.997832686459432"
"5000,41,""Elastic_Net_min"",1.10421952516792,0.658501956958084,0.8,0.992636724215788"
"5000,41,""Elastic_Net_1se"",1.07916282527626,3.26898140602923,0.8,0.998048916755715"
"5000,41,""WQS"",-138.560770764602,1.01488131758155,1,1.01386472049455"
"100,42,""Lasso_min"",-16.1659090053876,11.0697828731862,0,0.950792938776665"
"100,42,""Lasso_1se"",-13.2570964985066,19.6331210436858,1,1.06960918014986"
"100,42,""AdaptLasso_min"",-16.7604772626132,10.8383853096053,0.8,1.04416392047219"
"100,42,""AdaptLasso_1se"",-16.4052115083677,16.8741904773946,1,1.09077950582346"
"100,42,""Elastic_Net_min"",-16.1134435099789,10.9412540845436,0,0.951679523252807"
"100,42,""Elastic_Net_1se"",-12.5857721154884,20.8476452956456,0.8,1.07430587875075"
"100,42,""WQS"",-119.96167983722,8.71631848205372,1,1.0505725014769"
"500,42,""Lasso_min"",0.0205171589860137,3.93385896645221,0.8,0.956055939383658"
"500,42,""Lasso_1se"",-0.316458226963048,11.7031356196138,0.8,0.985242102491306"
"500,42,""AdaptLasso_min"",0.11507223913475,3.05198410963909,0.8,0.955371760798397"
"500,42,""AdaptLasso_1se"",0.0268217354437057,5.26788040046603,1,0.981560498455813"
"500,42,""Elastic_Net_min"",0.0155102657842125,3.9534723179363,0.6,0.9557312644587"
"500,42,""Elastic_Net_1se"",-0.284102235807379,10.2981736788535,0.8,0.975243618283814"
"500,42,""WQS"",-119.553382577111,2.8110819581611,1,0.971393415362983"
"1000,42,""Lasso_min"",-0.331761302414042,2.62020347242202,0.6,0.990526575995261"
"1000,42,""Lasso_1se"",-0.831139664608116,7.96053582137229,0.4,1.01093469028823"
"1000,42,""AdaptLasso_min"",-0.207639692342662,2.53712142092484,0.8,0.990485456987423"
"1000,42,""AdaptLasso_1se"",0.503573797806912,2.90997516955061,1,1.01310085646727"
"1000,42,""Elastic_Net_min"",-0.338149802952872,2.61235508892123,0.6,0.990494427978258"
"1000,42,""Elastic_Net_1se"",-1.06695909037119,9.83960572660134,0.4,1.01851346955751"
"1000,42,""WQS"",-112.126869189812,2.57997048527671,1,1.00354516856598"
"5000,42,""Lasso_min"",1.10521792831525,0.679481722505961,0.8,0.99263690299167"
"5000,42,""Lasso_1se"",1.07610704133942,3.95587414114578,0.8,1.00070688161761"
"5000,42,""AdaptLasso_min"",1.11102852642163,0.927335547362045,1,0.992620599184612"
"5000,42,""AdaptLasso_1se"",1.09895606657641,0.719790789000356,1,0.997832686459432"
"5000,42,""Elastic_Net_min"",1.10421952516792,0.658501956958084,0.8,0.992636724215788"
"5000,42,""Elastic_Net_1se"",1.07916282527626,3.26898140602923,0.8,0.998048916755715"
"5000,42,""WQS"",-138.560770764602,1.01488131758155,1,1.01386472049455"
"100,43,""Lasso_min"",-16.1659090053876,11.0697828731862,0,0.950792938776665"
"100,43,""Lasso_1se"",-13.2570964985066,19.6331210436858,1,1.06960918014986"
"100,43,""AdaptLasso_min"",-16.7604772626132,10.8383853096053,0.8,1.04416392047219"
"100,43,""AdaptLasso_1se"",-16.4052115083677,16.8741904773946,1,1.09077950582346"
"100,43,""Elastic_Net_min"",-16.1134435099789,10.9412540845436,0,0.951679523252807"
"100,43,""Elastic_Net_1se"",-12.5857721154884,20.8476452956456,0.8,1.07430587875075"
"100,43,""WQS"",-119.96167983722,8.71631848205372,1,1.0505725014769"
"500,43,""Lasso_min"",0.0205171589860137,3.93385896645221,0.8,0.956055939383658"
"500,43,""Lasso_1se"",-0.316458226963048,11.7031356196138,0.8,0.985242102491306"
"500,43,""AdaptLasso_min"",0.11507223913475,3.05198410963909,0.8,0.955371760798397"
"500,43,""AdaptLasso_1se"",0.0268217354437057,5.26788040046603,1,0.981560498455813"
"500,43,""Elastic_Net_min"",0.0155102657842125,3.9534723179363,0.6,0.9557312644587"
"500,43,""Elastic_Net_1se"",-0.284102235807379,10.2981736788535,0.8,0.975243618283814"
"500,43,""WQS"",-119.553382577111,2.8110819581611,1,0.971393415362983"
"1000,43,""Lasso_min"",-0.331761302414042,2.62020347242202,0.6,0.990526575995261"
"1000,43,""Lasso_1se"",-0.831139664608116,7.96053582137229,0.4,1.01093469028823"
"1000,43,""AdaptLasso_min"",-0.207639692342662,2.53712142092484,0.8,0.990485456987423"
"1000,43,""AdaptLasso_1se"",0.503573797806912,2.90997516955061,1,1.01310085646727"
"1000,43,""Elastic_Net_min"",-0.338149802952872,2.61235508892123,0.6,0.990494427978258"
"1000,43,""Elastic_Net_1se"",-1.06695909037119,9.83960572660134,0.4,1.01851346955751"
"1000,43,""WQS"",-112.126869189812,2.57997048527671,1,1.00354516856598"
"5000,43,""Lasso_min"",1.10521792831525,0.679481722505961,0.8,0.99263690299167"
"5000,43,""Lasso_1se"",1.07610704133942,3.95587414114578,0.8,1.00070688161761"
"5000,43,""AdaptLasso_min"",1.11102852642163,0.927335547362045,1,0.992620599184612"
"5000,43,""AdaptLasso_1se"",1.09895606657641,0.719790789000356,1,0.997832686459432"
"5000,43,""Elastic_Net_min"",1.10421952516792,0.658501956958084,0.8,0.992636724215788"
"5000,43,""Elastic_Net_1se"",1.07916282527626,3.26898140602923,0.8,0.998048916755715"
"5000,43,""WQS"",-138.560770764602,1.01488131758155,1,1.01386472049455"
"100,44,""Lasso_min"",-16.1659090053876,11.0697828731862,0,0.950792938776665"
"100,44,""Lasso_1se"",-13.2570964985066,19.6331210436858,1,1.06960918014986"
"100,44,""AdaptLasso_min"",-16.7604772626132,10.8383853096053,0.8,1.04416392047219"
"100,44,""AdaptLasso_1se"",-16.4052115083677,16.8741904773946,1,1.09077950582346"
"100,44,""Elastic_Net_min"",-16.1134435099789,10.9412540845436,0,0.951679523252807"
"100,44,""Elastic_Net_1se"",-12.5857721154884,20.8476452956456,0.8,1.07430587875075"
"100,44,""WQS"",-119.96167983722,8.71631848205372,1,1.0505725014769"
"500,44,""Lasso_min"",0.0205171589860137,3.93385896645221,0.8,0.956055939383658"
"500,44,""Lasso_1se"",-0.316458226963048,11.7031356196138,0.8,0.985242102491306"
"500,44,""AdaptLasso_min"",0.11507223913475,3.05198410963909,0.8,0.955371760798397"
"500,44,""AdaptLasso_1se"",0.0268217354437057,5.26788040046603,1,0.981560498455813"
"500,44,""Elastic_Net_min"",0.0155102657842125,3.9534723179363,0.6,0.9557312644587"
"500,44,""Elastic_Net_1se"",-0.284102235807379,10.2981736788535,0.8,0.975243618283814"
"500,44,""WQS"",-119.553382577111,2.8110819581611,1,0.971393415362983"
"1000,44,""Lasso_min"",-0.331761302414042,2.62020347242202,0.6,0.990526575995261"
"1000,44,""Lasso_1se"",-0.831139664608116,7.96053582137229,0.4,1.01093469028823"
"1000,44,""AdaptLasso_min"",-0.207639692342662,2.53712142092484,0.8,0.990485456987423"
"1000,44,""AdaptLasso_1se"",0.503573797806912,2.90997516955061,1,1.01310085646727"
"1000,44,""Elastic_Net_min"",-0.338149802952872,2.61235508892123,0.6,0.990494427978258"
"1000,44,""Elastic_Net_1se"",-1.06695909037119,9.83960572660134,0.4,1.01851346955751"
"1000,44,""WQS"",-112.126869189812,2.57997048527671,1,1.00354516856598"
"5000,44,""Lasso_min"",1.10521792831525,0.679481722505961,0.8,0.99263690299167"
"5000,44,""Lasso_1se"",1.07610704133942,3.95587414114578,0.8,1.00070688161761"
"5000,44,""AdaptLasso_min"",1.11102852642163,0.927335547362045,1,0.992620599184612"
"5000,44,""AdaptLasso_1se"",1.09895606657641,0.719790789000356,1,0.997832686459432"
"5000,44,""Elastic_Net_min"",1.10421952516792,0.658501956958084,0.8,0.992636724215788"
"5000,44,""Elastic_Net_1se"",1.07916282527626,3.26898140602923,0.8,0.998048916755715"
"5000,44,""WQS"",-138.560770764602,1.01488131758155,1,1.01386472049455"
"100,45,""Lasso_min"",-16.1659090053876,11.0697828731862,0,0.950792938776665"
"100,45,""Lasso_1se"",-13.2570964985066,19.6331210436858,1,1.06960918014986"
"100,45,""AdaptLasso_min"",-16.7604772626132,10.8383853096053,0.8,1.04416392047219"
"100,45,""AdaptLasso_1se"",-16.4052115083677,16.8741904773946,1,1.09077950582346"
"100,45,""Elastic_Net_min"",-16.1134435099789,10.9412540845436,0,0.951679523252807"
"100,45,""Elastic_Net_1se"",-12.5857721154884,20.8476452956456,0.8,1.07430587875075"
"100,45,""WQS"",-119.96167983722,8.71631848205372,1,1.0505725014769"
"500,45,""Lasso_min"",0.0205171589860137,3.93385896645221,0.8,0.956055939383658"
"500,45,""Lasso_1se"",-0.316458226963048,11.7031356196138,0.8,0.985242102491306"
"500,45,""AdaptLasso_min"",0.11507223913475,3.05198410963909,0.8,0.955371760798397"
"500,45,""AdaptLasso_1se"",0.0268217354437057,5.26788040046603,1,0.981560498455813"
"500,45,""Elastic_Net_min"",0.0155102657842125,3.9534723179363,0.6,0.9557312644587"
"500,45,""Elastic_Net_1se"",-0.284102235807379,10.2981736788535,0.8,0.975243618283814"
"500,45,""WQS"",-119.553382577111,2.8110819581611,1,0.971393415362983"
"1000,45,""Lasso_min"",-0.331761302414042,2.62020347242202,0.6,0.990526575995261"
"1000,45,""Lasso_1se"",-0.831139664608116,7.96053582137229,0.4,1.01093469028823"
"1000,45,""AdaptLasso_min"",-0.207639692342662,2.53712142092484,0.8,0.990485456987423"
"1000,45,""AdaptLasso_1se"",0.503573797806912,2.90997516955061,1,1.01310085646727"
"1000,45,""Elastic_Net_min"",-0.338149802952872,2.61235508892123,0.6,0.990494427978258"
"1000,45,""Elastic_Net_1se"",-1.06695909037119,9.83960572660134,0.4,1.01851346955751"
"1000,45,""WQS"",-112.126869189812,2.57997048527671,1,1.00354516856598"
"5000,45,""Lasso_min"",1.10521792831525,0.679481722505961,0.8,0.99263690299167"
"5000,45,""Lasso_1se"",1.07610704133942,3.95587414114578,0.8,1.00070688161761"
"5000,45,""AdaptLasso_min"",1.11102852642163,0.927335547362045,1,0.992620599184612"
"5000,45,""AdaptLasso_1se"",1.09895606657641,0.719790789000356,1,0.997832686459432"
"5000,45,""Elastic_Net_min"",1.10421952516792,0.658501956958084,0.8,0.992636724215788"
"5000,45,""Elastic_Net_1se"",1.07916282527626,3.26898140602923,0.8,0.998048916755715"
"5000,45,""WQS"",-138.560770764602,1.01488131758155,1,1.01386472049455"
"100,46,""Lasso_min"",-16.1659090053876,11.0697828731862,0,0.950792938776665"
"100,46,""Lasso_1se"",-13.2570964985066,19.6331210436858,1,1.06960918014986"
"100,46,""AdaptLasso_min"",-16.7604772626132,10.8383853096053,0.8,1.04416392047219"
"100,46,""AdaptLasso_1se"",-16.4052115083677,16.8741904773946,1,1.09077950582346"
"100,46,""Elastic_Net_min"",-16.1134435099789,10.9412540845436,0,0.951679523252807"
"100,46,""Elastic_Net_1se"",-12.5857721154884,20.8476452956456,0.8,1.07430587875075"
"100,46,""WQS"",-119.96167983722,8.71631848205372,1,1.0505725014769"
"500,46,""Lasso_min"",0.0205171589860137,3.93385896645221,0.8,0.956055939383658"
"500,46,""Lasso_1se"",-0.316458226963048,11.7031356196138,0.8,0.985242102491306"
"500,46,""AdaptLasso_min"",0.11507223913475,3.05198410963909,0.8,0.955371760798397"
"500,46,""AdaptLasso_1se"",0.0268217354437057,5.26788040046603,1,0.981560498455813"
"500,46,""Elastic_Net_min"",0.0155102657842125,3.9534723179363,0.6,0.9557312644587"
